   -1 inaro.wallpaper call            surfaceflinger
    0 91.553          196.39117       binder_ioctl
    1 0.000           196.39117       binder_get_thread
    1 123504.6        196.39117       binder_thread_write
    2 0.000           196.39120       binder_transaction_buffer_release
    2 0.000           196.39120       binder_free_buf
    3 0.000           196.39120       binder_update_page_range
    3 0.000           196.39120       binder_delete_free_buffer
    3 0.000           196.39120       binder_insert_free_buffer
    2 123504.6        196.39120       binder_transaction
    3 0.000           196.39123       binder_update_page_range
    3 0.000           196.39123       binder_insert_free_buffer
    3 0.000           196.39123       binder_inc_node


   -1 surfaceflinger  reply           inaro.wallpaper
    0 152.588         196.39132       binder_ioctl
    1 0.000           196.39132       binder_get_thread
    1 30.517          196.39141       binder_thread_write
    2 30.517          196.39141       binder_transaction
    3 0.000           196.39141       binder_set_nice
    3 0.000           196.39141       binder_update_page_range
    3 0.000           196.39144       binder_insert_free_buffer
    3 0.000           196.39144       binder_pop_transaction
    1 30.518          196.39144       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 152.588         196.40237       binder_ioctl
    1 0.000           196.40237       binder_get_thread
    1 30.517          196.40246       binder_thread_write
    2 30.517          196.40246       binder_transaction
    3 0.000           196.40246       binder_update_page_range
    3 0.000           196.40246       binder_insert_free_buffer
    3 0.000           196.40246       binder_inc_node
    1 0.000           196.40252       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 91.553          196.40258       binder_ioctl
    1 0.000           196.40258       binder_get_thread
    1 91.553          196.40258       binder_thread_write
    2 30.518          196.40264       binder_transaction
    3 0.000           196.40264       binder_set_nice
    3 0.000           196.40264       binder_update_page_range
    3 0.000           196.40264       binder_insert_free_buffer
    3 30.518          196.40264       binder_pop_transaction
    1 0.000           196.40267       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 152.587         196.40731       binder_ioctl
    1 0.000           196.40731       binder_get_thread
    1 61.035          196.40731       binder_thread_write
    2 0.000           196.40731       binder_transaction_buffer_release
    2 30.517          196.40731       binder_free_buf
    3 0.000           196.40731       binder_update_page_range
    3 0.000           196.40731       binder_delete_free_buffer
    3 0.000           196.40734       binder_insert_free_buffer
    2 30.518          196.40734       binder_transaction
    3 0.000           196.40734       binder_update_page_range
    3 0.000           196.40734       binder_insert_free_buffer
    3 0.000           196.40734       binder_inc_node
    1 30.517          196.40737       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.40753       binder_ioctl
    1 0.000           196.40753       binder_get_thread
    1 61.035          196.40753       binder_thread_write
    2 61.035          196.40753       binder_transaction
    3 0.000           196.40753       binder_set_nice
    3 30.517          196.40756       binder_update_page_range
    3 0.000           196.40756       binder_insert_free_buffer
    3 0.000           196.40756       binder_pop_transaction
    1 0.000           196.40759       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 152.588         196.41864       binder_ioctl
    1 0.000           196.41873       binder_get_thread
    1 61.035          196.41873       binder_thread_write
    2 61.035          196.41873       binder_transaction
    3 0.000           196.41873       binder_update_page_range
    3 30.518          196.41873       binder_insert_free_buffer
    3 0.000           196.41876       binder_inc_node
    1 0.000           196.41879       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 91.553          196.41885       binder_ioctl
    1 0.000           196.41885       binder_get_thread
    1 91.553          196.41885       binder_thread_write
    2 30.518          196.41891       binder_transaction
    3 0.000           196.41891       binder_set_nice
    3 0.000           196.41891       binder_update_page_range
    3 0.000           196.41891       binder_insert_free_buffer
    3 30.518          196.41894       binder_pop_transaction
    1 0.000           196.41894       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 91.553          196.42398       binder_ioctl
    1 0.000           196.42398       binder_get_thread
    1 32562.25        196.42398       binder_thread_write
    2 0.000           196.42398       binder_transaction_buffer_release
    2 30.518          196.42401       binder_free_buf
    3 30.518          196.42401       binder_update_page_range
    3 0.000           196.42401       binder_delete_free_buffer
    3 0.000           196.42401       binder_insert_free_buffer
    2 30.518          196.42401       binder_transaction
